Campaign Name,Ad Group Name,Targeting,Match Type,impressions,clicks,orders,spend,sales,ACoS(%),CVR(%),CPC($),销售占比(%),花费占比(%),label,action,adj_pct,adj_dollar,reason
DL_Auto_Old,Auto-4,loose-match,-,30951,575,57,448.5,1283.57,34.9,9.91,0.78,12.22,12.16,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_Auto_Old,Auto-4,close-match,-,47958,293,40,240.06,950.6700000000001,25.3,13.65,0.82,9.05,6.51,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_1_double dog leash for two dogs_强相关_1210,精准,double dog leash for two dogs,EXACT,14744,172,35,221.01,841.6800000000001,26.3,20.35,1.28,8.01,5.99,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_2_leash for 2 dogs,Exact,leash for 2 dogs,EXACT,52347,300,34,328.74,721.48,45.6,11.33,1.1,6.87,8.91,⚠️ 高ACoS出单,🔒 保护,0%,$0.00,核心流量，谨慎调整
DL_1_double dog leash_强相关_1210,精准,double dog leash,EXACT,27636,232,30,231.42,660.95,35.0,12.93,1.0,6.29,6.27,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_4_no tangle double dog leash_FX_0624,精准,no tangle double dog leash,EXACT,36874,229,27,229.14,603.0600000000001,38.0,11.79,1.0,5.74,6.21,⚠️ 高ACoS出单,🔒 保护,0%,$0.00,核心流量，谨慎调整
DL_double dog leash_词组,词组,double dog leash,PHRASE,4181,145,23,160.8,498.47,32.3,15.86,1.11,4.74,4.36,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_Auto_Old,Auto-4,substitutes,-,55454,215,19,138.81,405.84000000000003,34.2,8.84,0.65,3.86,3.76,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_1_double leash for two dogs_强相关_1210,精准,double leash for two dogs,EXACT,13582,83,18,79.25,407.35,19.5,21.69,0.95,3.88,2.15,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_2_dog leash for 2 dogs_DW_0708,精准,dog leash for 2 dogs,EXACT,8425,75,14,75.96000000000001,310.46000000000004,24.5,18.67,1.01,2.95,2.06,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
DL_5_double leash for two small dogs,Exact,double leash for two small dogs,EXACT,12074,98,14,117.28999999999999,307.68,38.1,14.29,1.2,2.93,3.18,⚠️ 高ACoS出单,↘ 降价,-5%,$0.06,ACoS超出目标3%，小幅降价
DL_1_dual dog leash with tangle-free swivel_强相关_1210,精准,dual dog leash with tangle-free swivel,EXACT,12639,91,9,119.6,202.01,59.2,9.89,1.31,1.92,3.24,⚠️ 高ACoS出单,↘ 降价,-15%,$0.20,ACoS严重偏高（60%），大幅降价
DL_2_2 dog leash no tangle,Exact,2 dog leash no tangle,EXACT,4892,37,9,34.01,207.01,16.4,24.32,0.92,1.97,0.92,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
DL_4_leash splitter,Exact,leash splitter,EXACT,11673,76,8,85.94999999999999,197.01,43.6,10.53,1.13,1.87,2.33,⚠️ 高ACoS出单,↘ 降价,-5%,$0.06,ACoS超出目标18%，小幅降价
DL_5_two dog leash no tangle small dog,Exact,two dog leash no tangle small dog,EXACT,1266,24,6,30.83,137.34,22.4,25.0,1.28,1.31,0.84,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
DL_0_split leash for walking 2 dogs_FX_0624,精准,split leash for walking 2 dogs,EXACT,7423,49,6,43.67,137.24,31.8,12.24,0.89,1.31,1.18,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
DL_2_dual dog leash_DW_1014,精准,dual dog leash,EXACT,4557,32,6,28.79,141.34,20.4,18.75,0.9,1.35,0.78,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
DL_1_two dog leash no tangle_强相关_1210,精准,two dog leash no tangle,EXACT,14531,100,6,95.25,137.34,69.4,6.0,0.95,1.31,2.58,⚠️ 高ACoS出单,↘ 降价,-15%,$0.14,ACoS严重偏高（87%），大幅降价
